<fld>ADVERTISEMENT credits
<fld>ZIPCODE 30024
<fld>CITY Atlanta, GA
<glb>NAME Frazer Dixon
<fld>mi J.
<fld>BIRTHDATE 04/24/1967
<fld>SSN 1245151421
<fld>ADDRESS 4485 Tench Road, STE2511 
<glb>CURRENCY US Dollars
<fld>BRANCH 2404
<fld>BANK 2144
<fld>CODE 000121451400232
<fld>AN 0001214514
<fld>BARS 0 25000 01 06 11245.54 18451.21 9541.72 16412.21 17103.00 19427.63
<fld>TWENTY 5000
<fld>FORTY 10000
<fld>SIXTY 15000
<fld>EIGHTY 20000
<fld>HUNDRED 25000
<fld>DATE 06/03/2008
<fld>DUE_DATE 06/04/2008
<fld>BRCH 9441
<fld>DESCRIPTION Down Payment
<fld>AMOUNT -595.13
<fld>BALANCE 18425.45
<fld>DATE 06/03/2008
<fld>DUE_DATE 06/03/2008
<fld>BRCH 9441
<fld>DESCRIPTION ATM Withdrawal
<fld>AMOUNT -250.00
<fld>BALANCE 19020.58
<fld>DATE 06/02/2008
<fld>DUE_DATE 06/03/2008
<fld>BRCH 8712
<fld>DESCRIPTION Restaurant
<fld>AMOUNT -45.15
<fld>BALANCE 19270.58
<fld>DATE 06/02/2008
<fld>DUE_DATE 06/03/2008
<fld>BRCH 7621
<fld>DESCRIPTION Retail Store
<fld>AMOUNT -67.99
<fld>BALANCE 19315.73
<fld>DATE 06/01/2008
<fld>DUE_DATE 06/01/2008
<fld>BRCH 1721
<fld>DESCRIPTION Electric Co. Bill
<fld>AMOUNT -43.91
<fld>BALANCE 19383.72
<fld>DATE 05/31/2008
<fld>DUE_DATE 05/31/2008
<fld>BRCH 4131
<fld>DESCRIPTION Transfer
<fld>AMOUNT 2031.14
<fld>BALANCE 19427.63
<fld>DATE 05/28/2008
<fld>DUE_DATE 05/28/2008
<fld>BRCH 9441
<fld>DESCRIPTION ATM Withdrawal
<fld>AMOUNT -300.00
<fld>BALANCE 17396.49
<fld>DATE 05/25/2008
<fld>DUE_DATE 05/25/2008
<fld>BRCH 9441
<fld>DESCRIPTION Gift shop 
<fld>AMOUNT -98.15
<fld>BALANCE 17696.49
<fld>DATE 05/24/2008
<fld>DUE_DATE 05/24/2008
<fld>BRCH 8745
<fld>DESCRIPTION Steakhouse
<fld>AMOUNT -47.95
<fld>BALANCE 17794.64
<fld>DATE 05/18/2008
<fld>DUE_DATE 05/18/2008
<fld>BRCH 1745
<fld>DESCRIPTION Credit card Payment
<fld>AMOUNT -41.54
<fld>BALANCE 17842.59
<fld>DATE 05/18/2008
<fld>DUE_DATE 05/18/2008
<fld>BRCH 7487
<fld>DESCRIPTION Retail Store
<fld>AMOUNT -37.00
<fld>BALANCE 17884.13
<fld>DATE 05/17/2008
<fld>DUE_DATE 05/18/2008
<fld>BRCH 6544
<fld>DESCRIPTION Exxon Service Station
<fld>AMOUNT -30.00
<fld>BALANCE 17921.13
<fld>DATE 05/14/2008
<fld>DUE_DATE 05/17/2008
<fld>BRCH 9441
<fld>DESCRIPTION Deposit
<fld>AMOUNT 124.14
<fld>BALANCE 17951.13
<fld>DATE 05/13/2008
<fld>DUE_DATE 05/13/2008
<fld>BRCH 9442
<fld>DESCRIPTION Phone bill
<fld>AMOUNT -61.31
<fld>BALANCE 17826.99
<fld>DATE 05/12/2008
<fld>DUE_DATE 05/12/2008
<fld>BRCH 7163
<fld>DESCRIPTION Steakhouse
<fld>AMOUNT -57.12
<fld>BALANCE 17888.30
<fld>DATE 05/09/2008
<fld>DUE_DATE 05/10/2008
<fld>BRCH 9441
<fld>DESCRIPTION ATM Withdrawal
<fld>AMOUNT -200.00
<fld>BALANCE 17945.42
<fld>DATE 05/04/2008
<fld>DUE_DATE 05/04/2008
<fld>BRCH 9441
<fld>DESCRIPTION Car Down Payment
<fld>AMOUNT -595.13
<fld>BALANCE 18145.42
<fld>DATE 05/03/2008
<fld>DUE_DATE 05/04/2008
<fld>BRCH 9984
<fld>DESCRIPTION Insurance premium
<fld>AMOUNT -873.21
<fld>BALANCE 18470.55
<fld>DATE 05/03/2008
<fld>DUE_DATE 05/03/2008
<fld>BRCH 6544
<fld>DESCRIPTION Exxon Service Station
<fld>AMOUNT -36.00
<fld>BALANCE 19613.76
<fld>DATE 04/30/2008
<fld>DUE_DATE 04/30/2008
<fld>BRCH 4131
<fld>DESCRIPTION Deposit
<fld>AMOUNT 2031.12
<fld>BALANCE 19649.76
<fld>DATE 04/29/2008
<fld>DUE_DATE 04/29/2008
<fld>BRCH 7414
<fld>DESCRIPTION Food Market
<fld>AMOUNT -49.54
<fld>BALANCE 17618.64
<fld>DATE 04/29/2008
<fld>DUE_DATE 04/29/2008
<fld>BRCH 8744
<fld>DESCRIPTION Bookstore
<fld>AMOUNT -123.50
<fld>BALANCE 17668.18
<fld>DATE 04/27/2008
<fld>DUE_DATE 04/27/2008
<fld>BRCH 8747
<fld>DESCRIPTION ATM Withdrawal
<fld>AMOUNT -250.00
<fld>BALANCE 17991.68
<fld>DATE 04/10/2008
<fld>DUE_DATE 04/10/2008
<fld>BRCH 9858
<fld>DESCRIPTION Florist
<fld>AMOUNT -50.00
<fld>BALANCE 18041.68
<fld>DATE 04/09/2008
<fld>DUE_DATE 04/09/2008
<fld>BRCH 3541
<fld>DESCRIPTION Gift Shop
<fld>AMOUNT -20.00
<fld>BALANCE 18061.68
<fld>DATE 04/08/2008
<fld>DUE_DATE 04/08/2008
<fld>BRCH 6544
<fld>DESCRIPTION Exxon Service Station
<fld>AMOUNT -40.00
<fld>BALANCE 18101.68
